#TYPE System.Management.Automation.PSCustomObject
"batchid"	"dbid"	"clientid"	"loadnr"	"orig_dcb"	"conv_dcb"	"orig_dir"	"backup_done"	"db_bytes"	"db_files"	"natives_bytes"	"natives_files_present"	"natives_files_missing"	"images_bytes"	"images_files_present"	"images_files_missing"	"st_backup"	"st_get_images"	"st_get_images2"	"st_get_natives"	"st_qc_tags"	"st_qc_compare_tags"	"st_backup_arch"	"st_convert"	"st_get_arch_db_files"	"funky"	"st_add_images"	"st_add_natives"	"st_add_db"
"1"	"1"	"2383.000014"	""	"X:\002383\000014\Standard_Oppenheimer_Opposing_Production\OPPOSING_PRODUCTION.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\002383\000014\Standard_Oppenheimer_Opposing_Production\OPPOSING_PRODUCTION.DCB"	""	"1"	"3476821"	"29"	"25192716"	"38"	"0"	"30673260"	"423"	"0"	""	""	""	""	""	""	""	""	"2"	""	"2"	"2"	""
"1"	"2"	"2383.000014"	""	"X:\002383\000014\Standard_Oppenheimer_Email_Review_DB_Vol_II\EMAIL_REVIEW_DB_2.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\002383\000014\Standard_Oppenheimer_Email_Review_DB_Vol_II\EMAIL_REVIEW_DB_2.DCB"	""	"1"	"1357668"	"17"	""	""	"0"	""	""	"39580"	""	""	""	""	""	""	""	""	"2"	""	"2"	"2"	""
"1"	"3"	"2423.000002"	""	"X:\002423\000002\SOMPO_HARDCOPY_REVIEW_DB\SOMPO_HARDCOPY_REVIEW_DB.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\002423\000002\SOMPO_HARDCOPY_REVIEW_DB\SOMPO_HARDCOPY_REVIEW_DB.DCB"	""	"1"	"2198608"	"33"	"173561"	"2"	"0"	"4065019"	"154"	"0"	""	""	""	""	""	""	""	""	"2"	""	"2"	"2"	""
"1"	"4"	"2423.000002"	""	"X:\002423\000002\Sompo_Transactions_Native_Review_DB\SOMPO_TRANSACTIONS_NATIVE_REVIEW_DB.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\002423\000002\Sompo_Transactions_Native_Review_DB\SOMPO_TRANSACTIONS_NATIVE_REVIEW_DB.DCB"	""	"1"	"4138478"	"35"	"21017107"	"245"	"0"	"13714978"	"366"	"0"	""	""	""	""	""	""	""	""	"2"	""	"2"	"2"	""
"1"	"5"	"2510.000004"	""	"X:\002510\000004\McKinsey_New_Stream_McKinsey_Review_DB\MCKINSEY_REVIEW_DB.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\002510\000004\McKinsey_New_Stream_McKinsey_Review_DB\MCKINSEY_REVIEW_DB.DCB"	""	"1"	"24466092"	"31"	"50759393"	"943"	"0"	"381027588"	"7214"	"0"	""	""	""	""	""	""	""	""	"2"	""	"2"	"2"	""
"1"	"6"	"2514.00001"	""	"X:\002514\000010\WTC_Vitro_Litigation_USBank_Production\USBANK_PRODUCTION.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\002514\000010\WTC_Vitro_Litigation_USBank_Production\USBANK_PRODUCTION.DCB"	""	"1"	"273435894"	"27"	"343552"	"2"	"0"	"7979384796"	"94698"	"0"	""	""	""	""	""	""	""	""	"2"	""	"2"	"2"	""
"1"	"7"	"2749.000001"	""	"X:\002749\000001\SOLARRE_Production\SOLARRE_REVIEW.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\002749\000001\SOLARRE_Production\SOLARRE_REVIEW.DCB"	""	"1"	"23109613"	"32"	"541890425"	"1214"	"0"	"203517421"	"4406"	"0"	""	""	""	""	""	""	""	""	"2"	""	"2"	"2"	""
"1"	"8"	"2749.000001"	""	"X:\002749\000001\LSE_Production\LSE_PRODUCTION.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\002749\000001\LSE_Production\LSE_PRODUCTION.DCB"	""	"1"	"19226066"	"33"	"75545033"	"153"	"788"	"185200660"	"3894"	"0"	""	""	""	""	""	""	""	""	"2"	""	"2"	"2"	""
"1"	"9"	"2813.000001"	""	"X:\002813\000001\CX_Exhibits\CX_001.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\002813\000001\CX_Exhibits\CX_001.DCB"	""	"1"	"452207915"	"28"	""	""	"0"	"63188279877"	"257759"	"0"	""	""	""	""	""	""	""	""	"2"	""	"2"	"2"	""
"1"	"10"	"2943.000002"	""	"X:\002943\000002\HL_Review\PAUL_WEISS\RIM_RESPONSIVE.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\002943\000002\HL_Review\PAUL_WEISS\RIM_RESPONSIVE.DCB"	""	"1"	"6710983"	"18"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	"2"	""	""	"2"	""
"1"	"11"	"2943.000002"	""	"X:\002943\000002\HL_Review\PrivilegeLog\RIM_BIDCO_PRIVILEGE_LOG.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\002943\000002\HL_Review\PrivilegeLog\RIM_BIDCO_PRIVILEGE_LOG.DCB"	""	"1"	"17686907"	"33"	"98849679"	"482"	"0"	"118559772"	"2880"	"0"	""	""	""	""	""	""	""	""	"2"	""	"2"	"2"	""
"1"	"12"	"2943.000002"	""	"X:\002943\000002\HL_Review\TO_Client_20111020\BIDCO_REVIEW.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\002943\000002\HL_Review\TO_Client_20111020\BIDCO_REVIEW.DCB"	""	"1"	"8120140"	"29"	"88875543"	"523"	"12"	"103667716"	"2545"	"0"	""	""	""	""	""	""	""	""	"2"	""	"2"	"2"	""
"1"	"13"	"2943.002944"	""	"X:\002943\002944\000001\HL_Production\HRG_PROD.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\002943\002944\000001\HL_Production\HRG_PROD.DCB"	""	"1"	"1298986"	"25"	""	""	"519"	""	""	""	""	""	""	""	""	""	""	""	"2"	""	""	"2"	""
"1"	"14"	"3156.000001"	""	"X:\003156\000001\SKULLCANDYPROD002\SKULLCANDYPROD002.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\003156\000001\SKULLCANDYPROD002\SKULLCANDYPROD002.DCB"	""	"1"	"80150017"	"17"	""	""	"0"	""	""	"43951"	""	""	""	""	""	""	""	""	"2"	""	"2"	"2"	""
"1"	"15"	"3540.000103"	""	"X:\003540\000103\Plaintiff_Document_Productions - Copy\PLAINTIFF_DOCUMENT_PRODUCTIONS.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\003540\000103\Plaintiff_Document_Productions - Copy\PLAINTIFF_DOCUMENT_PRODUCTIONS.DCB"	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"FUNKY"	""	""	""
"1"	"16"	"3540.000114"	""	"X:\003540\000114\Nissan_Production\NISSANV10.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\003540\000114\Nissan_Production\NISSANV10.DCB"	""	"0"	"110588512"	"31"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""
"1"	"17"	"3540.000114"	""	"X:\003540\000114\Ford_Production\FORD_PRODUCTION.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\003540\000114\Ford_Production\FORD_PRODUCTION.DCB"	""	"1"	"2398673"	"24"	""	""	"0"	"132841624"	"638"	"0"	""	""	""	""	""	""	""	""	"2"	""	"2"	"2"	""
"1"	"18"	"3540.000114"	""	"X:\003540\000114\Fujitsu_Ten_Corp_Of_America\FUJITSU_TEN_CORP_OF_AMERICA.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\003540\000114\Fujitsu_Ten_Corp_Of_America\FUJITSU_TEN_CORP_OF_AMERICA.DCB"	""	"1"	"1249454"	"25"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	"2"	""	""	"2"	""
